Reference, Value, Footprint, Datasheet
Q1,MPSH10,TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval,
R7,47,Resistors_SMD:R_0805,
R6,18,Resistors_SMD:R_0805,
R4,12k,Resistors_SMD:R_0805,
C4,120pF,Capacitors_SMD:C_0805,
C5,120pF,Capacitors_SMD:C_0805,
R8,270,Resistors_SMD:R_0805,
C6,4.2nF,Capacitors_SMD:C_0805,
R9,47,Resistors_SMD:R_0805,
R5,12k,Resistors_SMD:R_0805,
C3,12pF,Capacitors_SMD:C_0805,
L1,INDUCTOR,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
D1,BB505,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
R3,10k,Resistors_SMD:R_0805,
R2,120,Resistors_SMD:R_0805,
R1,180,Resistors_SMD:R_0805,
C1,1nF,Capacitors_SMD:C_0805,
C2,100 pF,Capacitors_SMD:C_0805,
W1,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
P1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
